train_loss,train_acc,test_loss,test_acc
2.3025765927826485,0.09944264481707317,2.302566246155205,0.10106077981651376
1.972472929736463,0.25250095274390244,1.976185301575092,0.2563431766055046
1.6582321695438245,0.7584079649390244,1.6610999626850864,0.7573107798165137
1.591873461880335,0.8507764862804879,1.595342227078359,0.8470470183486238
1.5614840828064012,0.888671875,1.5668209217010287,0.8838517775229358
1.5457554415958683,0.9050828887195121,1.5498131398760944,0.9023079128440367
1.5433434396982193,0.9118473704268293,1.5478929456220853,0.9097262041284404
1.542005511318765,0.9168016387195121,1.5452577433454882,0.9147792431192661
1.5386213100538022,0.9221608231707317,1.543056866444579,0.919868119266055
1.5357685688792206,0.9268530868902439,1.5398197699030605,0.9238102064220184
