train_loss,train_acc,test_loss,test_acc
2.3026176552946973,0.0967749618902439,2.3026016972480563,0.10227924311926606
2.0719013294068778,0.21105659298780488,2.0708017425799587,0.20606364678899083
1.9597164287072857,0.21241425304878048,1.9584108197360957,0.20932482798165136
1.8944453509842478,0.2858708079268293,1.8945080517628872,0.28429615825688076
1.7886567559184097,0.5151724466463414,1.7898931175196937,0.5161267201834863
1.6827741450652844,0.5421112804878049,1.6860173557876448,0.5426820527522935
1.6397970100728476,0.6605373475609756,1.6421897772255294,0.6602279243119266
1.590840964055643,0.779225419207317,1.593706296671421,0.7765911697247706
1.5673560670963147,0.8566120426829268,1.5709892773846967,0.8522434059633027
1.5451831835799101,0.9042016006097561,1.54767341570023,0.9031321674311926
