train_loss,train_acc,test_loss,test_acc
2.3025527123997853,0.11149485518292683,2.302537219240031,0.11374713302752294
1.815179532984408,0.3922684832317073,1.8189826536616054,0.38851060779816515
1.6105376253040826,0.7028391768292683,1.6142441586616936,0.697211869266055
1.5835849141202323,0.7372094131097561,1.5873363903903086,0.7339807912844036
1.571793843333314,0.895531631097561,1.5755256944840108,0.8912700688073395
1.549157176439355,0.9116568216463414,1.5524857694949579,0.9085435779816514
1.5435685217380524,0.9185165777439024,1.5487166058032884,0.9146000573394495
1.5398676940580693,0.9250428734756098,1.5449881181804412,0.9200831422018348
1.5378140610892599,0.9281392911585366,1.5418997751463444,0.923774369266055
1.5329274164467324,0.9320455411585366,1.538827650590774,0.9260321100917431
